trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
104,False,"{'a': 0.5, 'e': 0.9999915387061723}",25,0,-46.05307944583818,"{0: 17, 1: 5, 2: 2, 3: 1, 4: 0}",0
105,False,"{'a': 0.5, 'e': 0.9999908339962802}",30,0,-163.53326444197074,"{0: 19, 1: 1, 2: 6, 3: 2, 4: 2}",0
106,False,"{'a': 0.5, 'e': 0.9999900705942882}",20,0,-117.4822066001905,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
107,False,"{'a': 0.5, 'e': 0.9999892436120982}",30,0,-82.06977607726989,"{0: 19, 1: 2, 2: 9, 3: 0, 4: 0}",0
108,False,"{'a': 0.5, 'e': 0.9999883477545299}",20,0,-82.17162989908665,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
109,False,"{'a': 0.5, 'e': 0.999987377285423}",20,0,-87.14918765278587,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
110,False,"{'a': 0.5, 'e': 0.9999863259909154}",20,0,-72.19858609978513,"{0: 11, 1: 7, 2: 1, 3: 0, 4: 1}",0
111,False,"{'a': 0.5, 'e': 0.9999851871396653}",20,0,-44.63392614351375,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
112,False,"{'a': 0.5, 'e': 0.9999839534397611}",20,0,-79.85923845682284,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
113,False,"{'a': 0.5, 'e': 0.9999826169920444}",20,0,-60.04192673013215,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
114,False,"{'a': 0.5, 'e': 0.9999811692395472}",30,7,-112.4595823754762,"{0: 15, 1: 3, 2: 2, 3: 1, 4: 2}",1
115,False,"{'a': 0.5, 'e': 0.9999796009127201}",30,0,-145.49377378313363,"{0: 13, 1: 10, 2: 5, 3: 1, 4: 1}",0
116,False,"{'a': 0.5, 'e': 0.9999779019701014}",25,0,-91.41864462375332,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
117,False,"{'a': 0.5, 'e': 0.999976061534048}",25,0,-133.43672729866273,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
118,False,"{'a': 0.5, 'e': 0.9999740678211169}",20,0,-47.31762888922474,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.9999719080666527}",25,0,-152.2146392072398,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
120,False,"{'a': 0.5, 'e': 0.9999695684430995}",30,0,-140.340620792651,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
121,False,"{'a': 0.5, 'e': 0.9999670339715147}",25,0,-42.24955879816709,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
122,False,"{'a': 0.5, 'e': 0.9999642884257205}",25,0,-270.6123006628776,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 5}",0
123,False,"{'a': 0.5, 'e': 0.9999613142284802}",20,0,-122.10969888487604,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
124,False,"{'a': 0.5, 'e': 0.9999580923390371}",35,0,-203.90299381068448,"{0: 20, 1: 0, 2: 12, 3: 1, 4: 2}",0
125,False,"{'a': 0.5, 'e': 0.9999546021312976}",35,18,-82.04672915784319,"{0: 9, 1: 3, 2: 4, 3: 0, 4: 1}",1
126,False,"{'a': 0.5, 'e': 0.9999508212618822}",20,0,-139.77335569138177,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
127,False,"{'a': 0.5, 'e': 0.9999467255272021}",30,0,-94.42406804855129,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
128,False,"{'a': 0.5, 'e': 0.9999422887086502}",30,0,-101.32509638809579,"{0: 18, 1: 4, 2: 6, 3: 2, 4: 0}",0
129,False,"{'a': 0.5, 'e': 0.9999374824049192}",35,9,-64.33746987242777,"{0: 15, 1: 7, 2: 3, 3: 1, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.9999322758503802}",20,0,-41.79342612726279,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
131,False,"{'a': 0.5, 'e': 0.9999266357183623}",20,0,-101.8575095560615,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
132,False,"{'a': 0.5, 'e': 0.9999205259080828}",35,0,-207.7937608148138,"{0: 22, 1: 4, 2: 5, 3: 0, 4: 4}",0
133,False,"{'a': 0.5, 'e': 0.9999139073138724}",30,0,-86.06105106340895,"{0: 19, 1: 3, 2: 6, 3: 2, 4: 0}",0
134,False,"{'a': 0.5, 'e': 0.9999067375752262}",20,0,-23.09917771256605,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
135,False,"{'a': 0.5, 'e': 0.9998989708060922}",20,0,-175.8623967671772,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
136,False,"{'a': 0.5, 'e': 0.9998905573016795}",20,0,-214.72793506398114,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 4}",0
137,False,"{'a': 0.5, 'e': 0.9998814432209221}",30,0,-142.15125390219876,"{0: 20, 1: 0, 2: 7, 3: 1, 4: 2}",0
138,False,"{'a': 0.5, 'e': 0.9998715702425868}",25,0,-46.735731404723744,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
139,False,"{'a': 0.5, 'e': 0.9998608751928434}",25,0,-73.89343527688003,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
140,False,"{'a': 0.5, 'e': 0.9998492896419402}",25,0,-184.58307709286805,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
141,False,"{'a': 0.5, 'e': 0.9998367394674319}",20,13,-0.5116209588830773,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.9998231443812}",20,0,-121.5868365421323,"{0: 9, 1: 5, 2: 3, 3: 2, 4: 1}",0
143,False,"{'a': 0.5, 'e': 0.9998084174172788}",20,0,-82.75501564299344,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
144,False,"{'a': 0.5, 'e': 0.9997924643772577}",20,0,-121.31138823727515,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
145,False,"{'a': 0.5, 'e': 0.9997751832297667}",25,0,-127.79772521020584,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
146,False,"{'a': 0.5, 'e': 0.9997564634602683}",25,0,-154.94407634210734,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
147,False,"{'a': 0.5, 'e': 0.9997361853670717}",25,0,-66.82064780907808,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
